Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Gabe Vincent,MIA,25,68,47,21,23.4,37.0,63.0,32.1,7.8,60.4,5.4,7.5,17.1,24.4,40.0,60.0,79.8,20.2,62.1,37.9
Garrett Temple,NOP,35,59,23,36,18.6,37.3,62.7,33.7,4.5,57.3,19.4,9.0,17.5,29.1,63.5,36.5,98.3,1.7,82.0,18.0
Garrison Mathews,HOU,25,65,19,46,26.3,16.3,83.7,13.8,0.6,64.2,10.9,22.0,13.1,13.2,75.6,24.4,97.8,2.2,92.4,7.6
Gary Harris,ORL,27,61,16,45,28.4,45.4,54.6,36.5,7.1,51.3,15.9,12.2,18.0,29.5,58.9,41.1,93.1,6.9,75.4,24.6
Gary Payton II,GSW,29,71,47,24,17.6,65.1,34.9,67.3,0.4,25.7,21.3,7.0,22.9,66.9,78.7,21.3,100,0.0,83.0,17.0
Gary Trent Jr.,TOR,23,70,44,26,35.0,49.8,50.2,37.6,15.7,48.9,14.4,13.5,19.8,21.8,41.1,58.9,76.6,23.4,57.6,42.4
George Hill,MIL,35,54,36,18,23.2,51.3,48.7,46.1,5.4,36.8,16.5,17.1,19.5,40.7,44.2,55.8,92.7,7.3,61.0,39.0
Georges Niang,PHI,28,76,48,28,22.8,31.3,68.7,25.7,2.0,66.9,8.4,7.4,11.6,23.7,71.1,28.9,98.1,1.9,88.2,11.8
Giannis Antetokounmpo,MIL,27,67,45,22,32.9,80.6,19.4,61.7,8.5,10.6,14.4,27.7,13.2,53.2,43.2,56.8,42.3,57.7,43.1,56.9
Goga Bitadze,IND,22,50,17,33,14.6,68.3,31.7,61.9,0.6,19.8,7.2,18.3,13.2,61.3,69.4,30.6,100,0.0,74.8,25.2
Gordon Hayward,CHA,32,49,26,23,31.9,64.3,35.7,50.6,14.1,33.2,16.7,16.2,16.2,36.5,57.9,42.1,87.2,12.8,66.8,33.2
Gorgui Dieng,ATL,32,44,23,21,8.4,39.3,60.7,31.2,13.0,56.5,3.2,12.3,7.1,18.2,83.3,16.7,93.1,6.9,88.7,11.3
Grant Williams,BOS,23,77,49,28,24.4,40.3,59.7,32.9,1.0,52.8,10.0,14.3,14.5,31.9,71.7,28.3,99.1,0.9,85.9,14.1
Grayson Allen,MIL,26,66,43,23,27.3,31.6,68.4,26.2,2.7,65.1,15.3,8.7,17.1,23.5,64.6,35.4,91.2,8.8,81.2,18.8
Greg Brown III,POR,20,48,14,34,13.3,67.9,32.1,55.1,1.8,25.3,14.2,19.6,18.2,53.3,64.5,35.5,100,0.0,72.8,27.2
Hamidou Diallo,DET,23,58,14,44,21.9,82.3,17.7,74.8,9.1,10.8,14.6,14.4,24.1,65.7,51.7,48.3,91.3,8.7,55.2,44.8
Harrison Barnes,SAC,29,77,27,50,33.6,56.8,43.2,39.4,2.5,33.7,9.6,26.9,14.7,36.8,56.6,43.4,95.1,4.9,70.6,29.4
Hassan Whiteside,UTA,32,65,40,25,17.9,100,0.0,80.5,0.7,0.0,3.6,19.5,10.3,79.8,63.7,36.3,0.0,0.0,63.7,36.3
Herbert Jones,NOP,23,78,36,42,29.9,70.7,29.3,58.5,4.3,23.0,21.3,18.5,23.7,54.2,63.1,36.9,100,0.0,70.8,29.2
Ignas Brazdeikis,ORL,23,42,9,33,12.8,53.7,46.3,51.4,2.9,38.6,8.1,10.0,11.9,48.6,57.4,42.6,92.6,7.4,69.1,30.9
Immanuel Quickley,NYK,22,78,35,43,23.1,45.3,54.7,33.3,6.8,46.6,9.4,20.1,13.4,26.5,29.9,70.1,52.6,47.4,40.8,59.2
Isaac Okoro,CLE,21,67,34,33,29.6,63.6,36.4,51.7,1.0,28.1,26.7,20.2,18.7,50.7,71.7,28.3,94.5,5.5,77.8,22.2
Isaiah Hartenstein,LAC,23,68,37,31,17.9,91.8,8.2,76.4,0.4,7.5,7.1,16.1,16.2,76.0,74.9,25.1,85.7,14.3,75.5,24.5
Isaiah Joe,PHI,22,55,35,20,11.1,23.7,76.3,17.2,7.1,68.2,4.5,14.6,16.2,10.1,64.7,35.3,100,0.0,90.3,9.7
Isaiah Roby,OKC,24,45,10,35,21.1,69.3,30.7,53.7,3.1,29.1,10.1,17.2,17.6,50.7,68.9,31.1,90.9,9.1,74.7,25.3
Isaiah Stewart,DET,20,71,21,50,25.6,90.6,9.4,79.8,4.4,7.6,11.5,12.6,10.7,75.4,68.9,31.1,93.3,6.7,70.4,29.6
Ish Smith,WAS,33,65,27,38,17.3,84.4,15.6,78.0,37.6,18.3,6.1,3.7,13.9,40.5,18.1,81.9,72.0,28.0,25.4,74.6
Ish Wainright,PHX,27,45,36,9,8.0,43.3,56.7,40.7,0.0,52.8,9.3,6.5,6.5,40.7,63.6,36.4,100,0.0,80.5,19.5
Ivica Zubac,LAC,25,76,40,36,24.4,100,0.0,79.0,1.0,0.0,5.5,21.0,10.7,78.0,71.9,28.1,0.0,0.0,71.9,28.1
Ja Morant,MEM,22,57,36,21,33.1,78.2,21.8,62.9,2.3,16.9,15.9,20.2,14.3,60.6,24.8,75.2,51.1,48.9,28.8,71.2
JaMychal Green,DEN,31,67,36,31,16.2,62.1,37.9,58.3,5.1,22.9,12.0,18.8,21.8,53.2,69.0,31.0,100,0.0,75.5,24.5
JaVale McGee,PHX,34,74,57,17,15.8,98.0,2.0,84.1,2.4,0.9,4.1,15.0,11.2,81.8,69.2,30.8,100,0.0,69.4,30.6
Jaden McDaniels,MIN,21,70,40,30,25.8,54.5,45.5,54.1,5.3,37.1,12.8,8.8,18.9,48.8,72.0,28.0,98.8,1.2,80.4,19.6
Jae Crowder,PHX,31,67,54,13,28.1,32.9,67.1,28.5,13.0,60.3,9.8,11.2,16.3,15.5,82.2,17.8,92.9,7.1,88.5,11.5
Jae'Sean Tate,HOU,26,78,19,59,26.4,72.3,27.7,65.3,0.2,20.6,11.5,14.1,12.0,65.1,49.0,51.0,93.7,6.3,56.7,43.3
Jakob Poeltl,SAS,26,68,30,38,29.0,99.8,0.2,89.4,1.7,0.3,1.5,10.3,13.1,87.7,70.2,29.8,100,0.0,70.2,29.8
Jalen Brunson,DAL,25,79,50,29,31.9,75.0,25.0,64.1,17.4,21.9,6.5,14.0,13.1,46.7,26.2,73.8,80.9,19.1,36.4,63.6
Jalen Green,HOU,20,67,12,55,31.9,52.0,48.0,43.0,6.9,40.7,14.1,16.3,15.5,36.1,43.8,56.2,66.2,33.8,52.5,47.5
Jalen McDaniels,CHA,24,55,34,21,16.3,57.5,42.5,48.2,2.4,36.2,12.9,15.6,14.1,45.9,61.0,39.0,100,0.0,74.0,26.0
Jalen Smith,IND,22,51,29,22,18.1,65.1,34.9,57.9,6.4,25.5,6.2,16.6,13.0,51.5,72.1,27.9,100,0.0,78.4,21.6
Jalen Suggs,ORL,20,48,16,32,27.2,64.2,35.8,55.3,7.4,22.3,17.7,22.4,16.1,47.9,36.5,63.5,66.7,33.3,42.9,57.1
James Harden,PHI,32,65,40,25,37.2,54.8,45.2,36.2,2.9,31.0,9.8,32.8,13.7,33.2,18.9,81.1,25.7,74.3,21.4,78.6
James Johnson,BKN,35,62,30,32,19.2,72.3,27.7,71.2,1.2,20.3,7.4,8.5,11.8,70.0,51.2,48.8,91.3,8.7,57.6,42.4
Jared Butler,UTA,21,42,31,11,8.6,41.7,58.3,41.0,11.2,52.2,9.9,6.8,16.1,29.8,18.2,81.8,50.0,50.0,32.8,67.2
Jaren Jackson Jr.,MEM,22,78,53,25,27.3,61.3,38.7,47.5,1.4,30.2,7.2,22.3,14.8,46.1,56.3,43.7,98.4,1.6,68.8,31.2
Jarred Vanderbilt,MIN,23,74,41,33,25.4,96.1,3.9,82.0,0.0,1.2,23.0,16.8,23.8,82.0,69.0,31.0,100,0.0,69.3,30.7
Jarrett Allen,CLE,23,56,35,21,32.3,98.2,1.8,81.4,3.5,0.3,5.0,18.3,14.0,77.9,73.4,26.6,0.0,100,73.2,26.8
Javonte Green,CHI,28,65,38,27,23.4,68.9,31.1,59.8,0.4,23.1,23.5,17.1,18.4,59.4,67.9,32.1,100,0.0,74.4,25.6
Jaxson Hayes,NOP,21,70,29,41,20.0,85.7,14.3,68.8,1.5,9.2,14.8,22.0,16.7,67.3,76.0,24.0,95.0,5.0,77.6,22.4
Jaylen Brown,BOS,25,66,43,23,33.6,61.9,38.1,52.6,10.8,31.9,13.5,15.5,14.7,41.8,47.1,52.9,75.9,24.1,55.4,44.6
Jaylen Nowell,MIN,22,62,37,25,15.7,61.3,38.7,50.5,8.3,35.9,18.6,13.6,16.3,42.1,42.9,57.1,77.8,22.2,54.1,45.9
Jayson Tatum,BOS,24,76,49,27,35.9,58.4,41.6,46.7,9.4,33.7,11.0,19.6,13.5,37.3,42.9,57.1,56.5,43.5,47.3,52.7
Jeff Green,DEN,35,75,44,31,24.7,68.2,31.8,58.0,4.1,20.6,15.9,21.4,13.3,53.9,82.1,17.9,98.1,1.9,85.2,14.8
Jerami Grant,DET,28,47,11,36,31.9,63.7,36.3,45.8,14.8,30.2,8.1,24.0,13.8,31.0,49.8,50.2,96.7,3.3,64.1,35.9
Jeremiah Robinson-Earl,OKC,21,49,15,34,22.2,49.1,50.9,41.5,4.4,47.5,7.7,11.0,14.2,37.2,75.0,25.0,100,0.0,85.8,14.2
Jeremy Lamb,SAC,29,56,23,33,16.7,51.0,49.0,38.0,13.2,40.2,9.8,21.8,15.4,24.9,34.6,65.4,81.8,18.2,54.1,45.9
Jericho Sims,NYK,23,41,19,22,13.5,100,0.0,86.7,0.0,0.0,0.0,13.3,27.8,86.7,79.5,20.5,0.0,0.0,79.5,20.5
Jevon Carter,MIL,26,66,39,27,13.7,32.8,67.2,23.1,14.4,71.5,17.3,5.4,14.8,8.7,43.8,56.3,77.3,22.7,66.3,33.7
Jimmy Butler,MIA,32,57,38,19,33.9,86.0,14.0,60.9,12.1,6.6,12.0,32.5,16.0,48.7,37.7,62.3,77.8,22.2,40.5,59.5
Jock Landale,SAS,26,54,24,30,10.9,56.4,43.6,54.3,3.0,32.8,6.4,12.9,10.2,51.3,70.8,29.2,100,0.0,79.2,20.8
Joe Ingles,POR,34,45,28,17,24.9,21.1,78.9,22.8,0.6,72.0,11.4,5.2,12.0,22.2,59.5,40.5,75.6,24.4,70.4,29.6
Joel Embiid,PHI,28,68,45,23,33.8,81.2,18.8,55.1,15.9,13.4,6.1,31.5,12.3,39.2,51.3,48.7,71.0,29.0,54.1,45.9
John Collins,ATL,24,54,26,28,30.8,72.7,27.3,62.8,9.8,21.9,5.1,15.3,12.6,53.0,79.3,20.7,98.4,1.6,82.9,17.1
John Konchar,MEM,26,72,48,24,17.9,51.9,48.1,47.6,2.3,44.7,21.2,7.7,17.2,45.3,61.4,38.6,92.3,7.7,73.3,26.7
Jonas Valanciunas,NOP,29,74,34,40,30.3,83.2,16.8,68.9,8.1,13.0,2.9,18.1,10.7,60.9,62.7,37.3,98.2,1.8,66.7,33.3
Jonathan Kuminga,GSW,19,70,44,26,16.9,67.6,32.4,57.1,2.1,23.0,12.3,19.9,18.3,54.9,60.8,39.2,100,0.0,69.1,30.9
Jordan Clarkson,UTA,29,79,47,32,27.1,46.4,53.6,43.6,4.1,45.0,9.2,11.4,12.4,39.5,22.1,77.9,67.4,32.6,40.6,59.4
Jordan McLaughlin,MIN,26,62,36,26,14.5,57.5,42.5,52.4,4.3,34.8,23.2,12.8,20.2,48.1,49.2,50.8,85.2,14.8,60.2,39.8
Jordan Nwora,MIL,23,62,34,28,19.1,50.9,49.1,43.9,9.0,48.7,12.7,7.4,20.1,34.9,61.7,38.3,74.7,25.3,67.2,32.8
Jordan Poole,GSW,22,76,49,27,30.0,45.2,54.8,37.4,6.3,45.1,15.2,17.5,14.7,31.2,41.4,58.6,70.6,29.4,54.4,45.6
Jose Alvarado,NOP,24,54,25,29,15.4,62.6,37.4,60.0,7.9,29.1,10.9,10.9,16.1,52.1,30.3,69.7,96.9,3.1,46.6,53.4
Josh Christopher,HOU,20,74,18,56,18.0,62.2,37.8,57.2,2.7,28.6,19.1,14.2,24.0,54.5,42.3,57.7,76.8,23.2,50.9,49.1
Josh Giddey,OKC,19,54,17,37,31.5,68.2,31.8,66.8,7.4,24.9,14.4,8.3,12.9,59.3,30.2,69.8,82.1,17.9,40.6,59.4
Josh Green,DAL,21,67,44,23,15.5,69.5,30.5,63.9,5.6,26.3,23.5,9.8,17.6,58.3,78.4,21.6,100,0.0,83.1,16.9
Josh Hart,POR,27,54,20,34,33.2,62.6,37.4,53.0,4.7,27.1,25.9,19.9,14.1,48.3,47.2,52.8,74.0,26.0,54.0,46.0
Josh Jackson,SAC,25,51,12,39,16.3,56.7,43.3,53.0,8.5,30.2,15.5,16.8,17.4,44.5,51.7,48.3,87.9,12.1,61.7,38.3
Josh Okogie,MIN,23,49,23,26,10.5,54.8,45.2,42.1,0.0,31.6,9.0,26.3,24.8,42.1,60.7,39.3,100,0.0,73.8,26.2
Josh Richardson,SAS,28,65,38,27,24.6,53.9,46.1,39.6,12.9,45.9,8.9,14.5,18.2,26.7,47.7,52.3,99.0,1.0,70.1,29.9
Joshua Primo,SAS,19,50,22,28,19.3,49.3,50.7,41.0,4.2,43.8,11.8,15.2,14.6,36.8,52.5,47.5,92.9,7.1,69.3,30.7
Jrue Holiday,MIL,31,67,47,20,32.9,66.4,33.6,56.5,13.2,32.3,8.4,11.2,12.2,43.3,19.7,80.3,43.2,56.8,26.2,73.8
Juan Toscano-Anderson,GSW,29,73,51,22,13.6,63.0,37.0,58.4,0.7,28.2,13.1,13.4,15.4,57.7,69.0,31.0,85.7,14.3,73.0,27.0
Juancho Hernangomez,UTA,26,40,20,20,11.1,34.9,65.1,30.5,0.0,55.0,12.2,14.5,13.7,30.5,80.0,20.0,100,0.0,90.9,9.1
Julius Randle,NYK,27,72,32,40,35.3,68.7,31.3,54.2,13.8,24.9,6.5,20.9,15.0,40.4,36.2,63.8,80.0,20.0,46.5,53.5
Justin Holiday,SAC,33,74,25,49,27.8,27.2,72.8,22.4,7.5,70.9,11.2,6.7,15.1,15.0,78.6,21.4,96.0,4.0,90.4,9.6
Justise Winslow,POR,26,48,24,24,16.1,74.3,25.7,69.3,3.6,16.4,13.5,14.3,19.3,65.7,69.5,30.5,100,0.0,73.6,26.4
Jusuf Nurkic,POR,27,56,25,31,28.2,90.7,9.3,72.7,2.1,5.3,3.7,22.0,11.5,70.5,62.7,37.3,93.3,6.7,64.2,35.8
Karl-Anthony Towns,MIN,26,74,44,30,33.5,69.9,30.1,54.1,4.7,24.8,5.3,21.1,14.0,49.4,53.7,46.3,88.7,11.3,61.8,38.2
Keita Bates-Diop,SAS,26,59,23,36,16.2,79.1,20.9,71.0,4.2,15.2,14.9,13.8,14.9,66.9,75.6,24.4,94.1,5.9,77.9,22.1
Keldon Johnson,SAS,22,75,33,42,31.9,60.5,39.5,48.8,4.1,37.3,13.9,13.9,15.7,44.8,64.4,35.6,96.9,3.1,75.4,24.6
Kelly Olynyk,DET,30,40,13,27,19.1,58.4,41.6,48.2,6.6,32.9,9.6,18.9,19.7,41.6,62.5,37.5,87.5,12.5,70.3,29.7
Kelly Oubre Jr.,CHA,26,76,39,37,26.3,40.7,59.3,38.5,1.8,50.4,14.9,11.1,19.9,36.8,61.2,38.8,93.2,6.8,76.1,23.9
Kenrich Williams,OKC,27,49,17,32,21.9,61.8,38.2,57.9,9.9,33.9,10.5,8.2,19.6,47.9,59.0,41.0,82.9,17.1,65.8,34.2
Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,50.8,49.2,39.7,18.9,46.9,13.1,13.4,16.0,20.8,61.9,38.1,91.2,8.8,74.8,25.2
Kenyon Martin Jr.,HOU,21,79,20,59,21.0,67.9,32.1,62.9,0.0,25.9,15.4,11.2,16.7,62.9,73.5,26.5,100,0.0,79.2,20.8
Kessler Edwards,BKN,21,48,22,26,20.6,49.1,50.9,43.7,9.9,50.7,14.1,5.6,14.4,33.8,64.5,35.5,100,0.0,80.0,20.0
Kevin Durant,BKN,33,55,36,19,37.2,73.1,26.9,56.4,27.5,21.0,11.7,22.6,12.1,28.8,49.9,50.1,55.7,44.3,51.0,49.0
Kevin Huerter,ATL,23,74,40,34,29.6,45.9,54.1,41.5,10.8,53.8,13.0,4.7,15.8,30.7,51.9,48.1,90.0,10.0,69.6,30.4
Kevin Love,CLE,33,74,38,36,22.5,37.3,62.7,27.8,8.1,55.7,6.3,16.5,14.0,19.7,57.1,42.9,93.6,6.4,78.0,22.0
Kevin Porter Jr.,HOU,21,61,16,45,31.3,48.9,51.1,37.9,5.7,49.0,11.6,13.1,14.4,32.2,26.7,73.3,51.6,48.4,38.2,61.8
Kevon Looney,GSW,26,82,53,29,21.1,99.7,0.3,84.7,4.9,0.0,4.5,15.3,12.6,79.8,73.6,26.4,0.0,0.0,73.6,26.4
Khem Birch,TOR,29,55,34,21,18.0,93.0,7.0,78.5,3.2,0.0,7.7,21.5,19.4,75.3,80.4,19.6,0.0,0.0,80.4,19.6
Khris Middleton,MIL,30,66,44,22,32.4,57.5,42.5,43.8,19.3,36.7,8.8,19.5,9.0,24.5,33.1,66.9,63.0,37.0,43.8,56.2
Killian Hayes,DET,20,66,21,45,25.0,63.6,36.4,58.3,9.3,29.1,13.5,12.6,19.4,49.0,34.1,65.9,90.9,9.1,48.3,51.7
Kristaps Porzingis,WAS,26,51,26,25,29.0,67.1,32.9,53.2,12.8,22.7,7.3,24.1,11.2,40.4,68.2,31.8,98.7,1.3,75.0,25.0
Kyle Anderson,MEM,28,69,46,23,21.5,76.8,23.2,66.4,5.4,20.7,12.9,12.9,19.8,61.0,51.4,48.6,97.2,2.8,59.3,40.7
Kyle Kuzma,WAS,26,66,29,37,33.4,59.9,40.1,52.2,8.0,34.0,10.3,13.8,10.9,44.2,49.2,50.8,88.3,11.7,61.0,39.0
Kyle Lowry,MIA,36,63,41,22,33.9,39.1,60.9,31.3,9.2,51.2,10.9,17.5,15.6,22.0,30.3,69.7,65.3,34.7,48.6,51.4
LaMarcus Aldridge,BKN,36,47,26,21,22.3,90.0,10.0,78.4,37.9,6.9,2.3,14.7,10.2,40.5,74.8,25.2,100,0.0,76.2,23.8
LaMelo Ball,CHA,20,75,39,36,32.3,54.9,45.1,42.2,6.6,43.8,14.8,14.0,16.1,35.5,26.4,73.6,75.0,25.0,46.3,53.7
Lamar Stevens,CLE,24,63,35,28,16.1,79.6,20.4,72.1,11.0,14.1,14.1,13.8,16.2,61.1,60.1,39.9,100,0.0,64.7,35.3
Lance Stephenson,IND,31,46,11,35,17.7,72.1,27.9,62.5,20.8,21.1,8.9,16.4,15.6,41.7,20.0,80.0,59.3,40.7,27.2,72.8
Landry Shamet,PHX,25,69,53,16,20.8,31.1,68.9,23.7,6.6,64.4,10.5,11.9,18.8,17.1,60.3,39.7,95.1,4.9,82.7,17.3
Larry Nance Jr.,NOP,29,46,19,27,22.6,71.7,28.3,66.0,3.1,21.5,10.3,12.5,19.0,62.9,68.9,31.1,100,0.0,74.4,25.6
Lauri Markkanen,CLE,24,61,32,29,30.8,45.9,54.1,39.3,3.6,45.3,13.0,15.4,16.4,35.8,68.4,31.6,99.3,0.7,81.8,18.2
LeBron James,LAL,37,56,25,31,37.2,63.3,36.7,56.5,9.2,28.5,15.8,15.0,14.0,47.3,40.7,59.3,55.9,44.1,44.5,55.5
Lonnie Walker IV,SAS,23,70,27,43,23.0,53.8,46.2,47.1,14.6,39.2,13.5,13.7,16.7,32.5,54.0,46.0,85.6,14.4,65.3,34.7
Lou Williams,ATL,35,56,33,23,14.3,68.1,31.9,49.7,22.0,31.4,6.2,18.9,7.3,27.7,34.1,65.9,73.0,27.0,45.6,54.4
Luguentz Dort,OKC,22,51,17,34,32.7,46.1,53.9,37.2,2.5,44.5,10.7,18.3,12.8,34.7,49.1,50.9,87.7,12.3,66.2,33.8
Luka Doncic,DAL,23,65,44,21,35.4,59.4,40.6,47.6,8.8,32.6,4.0,19.8,11.5,38.9,10.7,89.3,21.9,78.1,14.2,85.8
