Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Aaron Gordon, 38, 75, 50, 13, 72, 46, 60, 37, 49, 54, 75, 65, 28, 77, 63, 54, 88, 45, 46, 68, 86, 94, 88, 75, 63, 34, 52, 67, 86, 44, 69, 60, 52, 64, 50, 55, 75
Aaron Holiday, 83, 38, 17, 90, 17, 18, 61, 86, 59, 73, 87, 10, 99, 78, 78, 32, 32, 84, 67, 42, 43, 57, 46, 22, 22, 68, 53, 74, 33, 31, 13, 21, 46, 55, 70, 77, 44
Aaron Nesmith, 7, 42, 42, 84, 26, 52, 28, 54, 0, 36, 35, 52, 11, 41, 42, 90, 94, 28, 29, 41, 43, 56, 46, 22, 22, 99, 24, 9, 48, 89, 14, 39, 16, 36, 36, 28, 82
Aaron Wiggins, 31, 64, 25, 26, 26, 48, 22, 48, 79, 41, 61, 48, 17, 49, 63, 33, 32, 60, 58, 41, 43, 53, 46, 73, 53, 85, 24, 63, 57, 26, 72, 51, 27, 24, 21, 63, 42
Al Horford, 68, 72, 87, 36, 87, 15, 92, 67, 82, 30, 36, 99, 70, 44, 87, 33, 32, 27, 28, 88, 63, 93, 87, 68, 96, 70, 72, 31, 73, 24, 48, 83, 38, 22, 96, 28, 94
Alec Burks, 71, 19, 64, 75, 32, 11, 18, 94, 62, 54, 78, 27, 81, 68, 61, 34, 33, 90, 57, 39, 42, 66, 67, 36, 45, 76, 76, 39, 5, 55, 11, 64, 87, 78, 70, 76, 11
Aleksej Pokusevski, 68, 73, 81, 54, 79, 81, 68, 61, 73, 51, 39, 24, 63, 50, 68, 62, 97, 64, 40, 77, 68, 62, 46, 80, 55, 64, 21, 30, 38, 51, 30, 60, 22, 53, 20, 61, 19
Alex Caruso, 83, 50, 27, 99, 50, 12, 6, 79, 71, 49, 50, 62, 77, 33, 42, 34, 33, 70, 47, 43, 41, 60, 47, 56, 27, 81, 30, 30, 15, 37, 25, 53, 45, 50, 32, 62, 25
Alperen Sengun, 78, 88, 82, 79, 93, 98, 59, 11, 38, 36, 35, 93, 33, 75, 88, 34, 34, 26, 28, 84, 63, 98, 87, 84, 72, 34, 18, 81, 54, 8, 46, 25, 15, 30, 12, 54, 26
Amir Coffey, 50, 25, 29, 34, 27, 32, 85, 57, 50, 83, 93, 80, 66, 58, 51, 60, 97, 68, 64, 47, 41, 60, 47, 40, 35, 76, 68, 24, 56, 74, 50, 64, 76, 51, 58, 51, 76
Andre Drummond, 59, 100, 100, 96, 89, 74, 79, 25, 8, 32, 32, 20, 10, 36, 40, 35, 37, 26, 27, 85, 84, 91, 69, 98, 64, 16, 16, 96, 68, 10, 95, 6, 6, 12, 34, 23, 23
Andrew Wiggins, 37, 55, 19, 44, 65, 47, 76, 54, 29, 75, 69, 45, 62, 84, 69, 78, 67, 69, 73, 47, 40, 82, 74, 55, 78, 55, 70, 43, 44, 79, 30, 87, 85, 81, 46, 79, 55
Anfernee Simons, 80, 11, 6, 3, 4, 36, 1, 52, 29, 77, 91, 40, 17, 95, 62, 65, 54, 92, 92, 45, 44, 60, 47, 19, 21, 39, 98, 60, 26, 88, 75, 79, 99, 93, 80, 81, 67
Anthony Edwards, 69, 29, 43, 73, 50, 63, 50, 69, 19, 80, 81, 36, 21, 98, 77, 72, 72, 81, 66, 44, 46, 59, 48, 37, 43, 30, 82, 42, 46, 95, 44, 66, 88, 92, 62, 91, 62
Anthony Gill, 30, 82, 44, 0, 75, 3, 41, 1, 85, 34, 25, 98, 58, 38, 41, 36, 35, 25, 26, 80, 97, 42, 48, 90, 52, 63, 92, 89, 74, 5, 94, 11, 99, 3, 0, 27, 46
Armoni Brooks, 50, 27, 29, 52, 38, 28, 46, 94, 35, 98, 96, 9, 94, 70, 68, 96, 60, 63, 46, 44, 46, 39, 48, 19, 20, 70, 25, 15, 52, 99, 10, 56, 22, 60, 53, 29, 79
Austin Reaves, 52, 54, 29, 11, 34, 58, 34, 40, 69, 56, 70, 91, 48, 78, 95, 65, 91, 59, 65, 67, 98, 49, 48, 53, 40, 73, 35, 15, 50, 27, 75, 45, 52, 47, 31, 47, 91
Austin Rivers, 27, 9, 2, 72, 5, 40, 10, 40, 62, 74, 38, 37, 29, 93, 80, 65, 51, 58, 39, 40, 45, 47, 49, 18, 20, 93, 97, 15, 80, 76, 15, 50, 67, 43, 19, 53, 73
Avery Bradley, 3, 35, 6, 66, 13, 46, 0, 62, 62, 68, 71, 23, 18, 37, 38, 71, 99, 56, 85, 69, 67, 64, 49, 54, 80, 78, 39, 7, 11, 33, 46, 62, 80, 52, 68, 22, 6
Ayo Dosunmu, 75, 14, 14, 48, 51, 88, 34, 13, 77, 40, 97, 31, 63, 59, 89, 37, 31, 66, 96, 28, 45, 45, 53, 45, 30, 79, 62, 49, 88, 17, 57, 50, 74, 54, 87, 64, 76
Bam Adebayo, 62, 87, 93, 88, 90, 48, 64, 58, 98, 25, 26, 97, 74, 78, 82, 38, 34, 38, 77, 85, 72, 96, 80, 74, 94, 16, 60, 87, 81, 53, 35, 20, 13, 69, 29, 57, 90
Ben McLemore, 19, 1, 7, 29, 24, 39, 2, 93, 26, 97, 68, 45, 35, 43, 31, 100, 62, 40, 38, 37, 46, 43, 50, 18, 19, 67, 87, 40, 23, 83, 75, 97, 65, 57, 60, 22, 40
Blake Griffin, 67, 83, 76, 47, 47, 22, 60, 56, 86, 26, 28, 90, 64, 34, 32, 32, 28, 24, 29, 92, 60, 84, 73, 84, 51, 52, 26, 23, 59, 39, 51, 44, 13, 31, 66, 17, 49
Bobby Portis, 11, 85, 89, 32, 82, 60, 84, 58, 80, 37, 44, 91, 42, 45, 60, 53, 99, 23, 25, 82, 77, 95, 79, 87, 47, 47, 67, 59, 78, 64, 39, 93, 75, 61, 73, 32, 53
Bogdan Bogdanovic, 66, 16, 46, 73, 19, 25, 23, 64, 30, 84, 88, 52, 23, 82, 91, 94, 58, 72, 60, 56, 48, 65, 66, 34, 54, 57, 90, 26, 16, 92, 55, 91, 75, 84, 87, 77, 71
Bojan Bogdanovic, 33, 43, 32, 2, 0, 24, 62, 74, 52, 52, 89, 85, 19, 66, 49, 96, 86, 52, 89, 57, 52, 85, 72, 50, 61, 59, 88, 35, 46, 51, 77, 94, 77, 74, 65, 76, 63
Bones Hyland, 79, 3, 56, 61, 60, 57, 34, 72, 45, 79, 75, 30, 4, 83, 72, 77, 87, 80, 62, 35, 30, 38, 50, 17, 18, 51, 75, 10, 12, 60, 18, 62, 64, 75, 80, 62, 15
Brandon Boston Jr., 40, 34, 43, 63, 42, 76, 37, 72, 52, 87, 42, 61, 88, 81, 62, 71, 68, 73, 50, 35, 39, 56, 50, 54, 29, 50, 28, 70, 20, 70, 21, 18, 32, 72, 43, 43, 9
Brandon Clarke, 36, 87, 68, 26, 81, 79, 91, 39, 74, 43, 87, 89, 13, 48, 63, 26, 27, 22, 24, 88, 95, 55, 50, 93, 91, 27, 41, 93, 96, 17, 93, 13, 20, 25, 31, 34, 86
Brandon Ingram, 85, 19, 65, 5, 48, 60, 22, 87, 19, 76, 74, 24, 78, 93, 52, 91, 80, 78, 79, 54, 50, 77, 78, 32, 38, 28, 61, 81, 24, 76, 40, 90, 51, 95, 64, 94, 71
Bruce Brown, 49, 70, 59, 92, 74, 52, 88, 34, 99, 28, 31, 28, 68, 47, 52, 27, 27, 44, 86, 78, 61, 52, 51, 79, 40, 52, 68, 85, 58, 23, 69, 32, 53, 26, 15, 46, 36
Bryn Forbes, 23, 0, 1, 6, 4, 36, 21, 73, 15, 29, 32, 0, 98, 33, 33, 27, 28, 22, 23, 33, 30, 52, 51, 16, 18, 0, 2, 20, 20, 96, 63, 71, 83, 68, 68, 47, 38
Buddy Hield, 58, 35, 46, 54, 25, 93, 21, 17, 23, 90, 63, 71, 38, 51, 51, 99, 83, 67, 58, 52, 50, 51, 51, 51, 35, 43, 77, 21, 22, 75, 68, 98, 77, 85, 62, 73, 34
CJ Elleby, 50, 70, 66, 30, 60, 77, 74, 42, 68, 63, 41, 72, 6, 41, 33, 74, 56, 56, 42, 32, 31, 58, 52, 75, 36, 84, 21, 46, 22, 59, 12, 46, 24, 33, 15, 50, 12
CJ McCollum, 82, 30, 27, 56, 34, 13, 30, 82, 7, 30, 31, 1, 98, 30, 34, 28, 28, 21, 23, 29, 32, 63, 52, 16, 17, 8, 3, 66, 42, 74, 43, 73, 93, 98, 85, 92, 58
Cade Cunningham, 90, 40, 63, 81, 64, 86, 80, 30, 27, 68, 47, 77, 66, 87, 66, 68, 60, 93, 74, 49, 100, 65, 84, 42, 30, 33, 45, 66, 38, 47, 12, 77, 29, 87, 49, 97, 59
Caleb Martin, 14, 72, 47, 81, 75, 29, 62, 80, 72, 52, 50, 50, 53, 66, 86, 31, 29, 46, 42, 60, 99, 64, 52, 67, 90, 78, 94, 52, 73, 58, 72, 42, 77, 46, 86, 52, 81
Cam Reddish, 24, 28, 7, 97, 53, 17, 7, 93, 97, 28, 31, 7, 99, 40, 34, 29, 29, 21, 23, 43, 33, 61, 52, 23, 17, 2, 3, 34, 7, 82, 28, 56, 68, 72, 30, 66, 50
Cam Thomas, 48, 4, 50, 63, 12, 91, 20, 23, 44, 89, 61, 79, 38, 88, 83, 62, 52, 79, 57, 38, 38, 50, 53, 26, 19, 58, 42, 56, 48, 86, 23, 25, 17, 82, 75, 66, 81
Cameron Johnson, 22, 33, 50, 50, 24, 41, 56, 45, 54, 62, 82, 80, 42, 44, 99, 92, 62, 42, 38, 66, 54, 42, 45, 47, 91, 93, 95, 5, 31, 72, 82, 97, 92, 48, 16, 51, 45
Cameron Payne, 97, 21, 38, 45, 36, 49, 9, 53, 54, 57, 72, 43, 58, 71, 70, 30, 30, 99, 59, 30, 34, 40, 49, 34, 36, 36, 65, 66, 21, 32, 35, 38, 49, 77, 58, 87, 35
Caris LeVert, 79, 31, 23, 62, 39, 26, 7, 62, 54, 27, 30, 2, 89, 41, 35, 30, 31, 29, 22, 28, 34, 38, 45, 23, 25, 3, 4, 66, 40, 63, 41, 36, 81, 92, 48, 97, 66
Carmelo Anthony, 9, 60, 49, 44, 73, 64, 28, 45, 65, 40, 55, 76, 72, 76, 77, 74, 93, 38, 47, 70, 53, 96, 86, 61, 77, 65, 53, 72, 37, 66, 63, 95, 64, 76, 86, 16, 84
Cedi Osman, 57, 22, 11, 82, 19, 32, 30, 91, 88, 27, 30, 2, 92, 39, 35, 38, 43, 29, 25, 35, 35, 44, 40, 24, 25, 3, 5, 19, 81, 52, 25, 84, 46, 56, 87, 56, 38
Chimezie Metu, 18, 52, 93, 77, 70, 77, 72, 60, 4, 26, 29, 96, 50, 58, 55, 31, 38, 34, 30, 76, 69, 81, 96, 49, 98, 92, 21, 39, 67, 41, 64, 60, 28, 48, 38, 53, 21
Chris Boucher, 0, 81, 84, 26, 90, 85, 72, 26, 75, 38, 38, 69, 60, 31, 35, 38, 44, 34, 30, 79, 57, 48, 37, 95, 41, 56, 45, 61, 80, 45, 60, 60, 23, 29, 9, 13, 21
Chris Duarte, 47, 40, 42, 76, 8, 71, 65, 32, 20, 95, 65, 37, 21, 74, 69, 72, 51, 72, 72, 51, 98, 46, 37, 52, 32, 52, 59, 44, 16, 77, 35, 57, 78, 84, 56, 78, 19
Chris Paul, 100, 5, 39, 95, 31, 50, 17, 79, 61, 46, 92, 12, 87, 87, 60, 40, 45, 100, 91, 34, 36, 46, 38, 25, 26, 22, 43, 17, 41, 100, 51, 14, 71, 97, 88, 93, 89
Christian Wood, 47, 77, 98, 48, 84, 26, 64, 84, 70, 38, 64, 96, 50, 91, 81, 77, 92, 36, 95, 86, 85, 87, 83, 72, 94, 34, 48, 74, 79, 46, 50, 74, 73, 63, 67, 65, 75
Chuma Okeke, 42, 47, 72, 98, 72, 81, 50, 33, 40, 87, 83, 63, 49, 51, 76, 76, 88, 54, 40, 58, 70, 68, 70, 46, 52, 92, 23, 10, 36, 75, 20, 87, 34, 56, 26, 52, 23
Clint Capela, 12, 99, 99, 42, 96, 79, 74, 14, 9, 25, 32, 43, 46, 34, 36, 46, 46, 33, 34, 95, 94, 71, 73, 99, 37, 8, 13, 98, 85, 9, 98, 1, 1, 0, 25, 6, 36
Coby White, 68, 7, 25, 10, 17, 70, 40, 38, 70, 44, 52, 22, 9, 55, 84, 70, 96, 77, 68, 36, 37, 47, 38, 23, 25, 91, 79, 17, 30, 69, 54, 89, 83, 73, 55, 79, 61
Cody Martin, 56, 63, 39, 85, 54, 30, 39, 77, 60, 71, 40, 50, 3, 54, 99, 46, 46, 57, 40, 56, 51, 44, 38, 58, 30, 72, 85, 55, 71, 37, 66, 41, 57, 40, 38, 57, 56
Cole Anthony, 91, 14, 61, 39, 17, 15, 38, 69, 28, 77, 78, 36, 22, 79, 65, 54, 51, 93, 62, 37, 38, 44, 38, 31, 38, 31, 37, 56, 9, 64, 33, 70, 54, 89, 46, 92, 35
Corey Kispert, 14, 50, 12, 19, 35, 63, 44, 31, 50, 84, 57, 72, 20, 36, 38, 89, 55, 40, 87, 57, 64, 44, 39, 62, 85, 91, 82, 13, 85, 57, 42, 78, 51, 40, 26, 31, 68
Cory Joseph, 83, 19, 21, 41, 30, 82, 51, 35, 53, 71, 47, 60, 45, 56, 85, 47, 47, 87, 62, 57, 74, 45, 39, 7, 17, 61, 91, 37, 26, 55, 34, 34, 96, 59, 34, 79, 56
D'Angelo Russell, 96, 3, 19, 34, 22, 61, 25, 57, 32, 65, 97, 44, 5, 85, 88, 67, 59, 90, 74, 32, 44, 65, 66, 26, 85, 36, 46, 23, 64, 96, 23, 81, 47, 93, 65, 76, 68
D.J. Augustin, 78, 7, 4, 24, 1, 91, 1, 20, 91, 23, 27, 4, 92, 37, 39, 48, 48, 32, 33, 32, 30, 45, 39, 7, 16, 5, 5, 7, 6, 97, 89, 34, 99, 51, 57, 55, 13
Dalano Banton, 86, 58, 51, 62, 50, 38, 56, 87, 77, 64, 36, 58, 17, 75, 98, 48, 48, 72, 39, 27, 38, 46, 40, 79, 64, 36, 19, 76, 35, 31, 38, 11, 8, 41, 37, 44, 19
Damian Jones, 41, 91, 77, 40, 95, 77, 75, 23, 1, 29, 27, 95, 14, 32, 38, 48, 48, 32, 33, 98, 94, 83, 99, 88, 92, 20, 46, 83, 99, 18, 86, 16, 69, 19, 11, 15, 96
Damion Lee, 16, 40, 54, 54, 13, 49, 16, 89, 46, 89, 64, 65, 81, 31, 37, 95, 81, 44, 37, 28, 37, 46, 40, 42, 99, 85, 43, 19, 83, 54, 25, 57, 33, 52, 32, 51, 67
Daniel Gafford, 15, 95, 76, 24, 97, 97, 92, 4, 5, 30, 26, 17, 16, 40, 37, 49, 49, 31, 32, 97, 87, 77, 98, 97, 87, 7, 6, 94, 97, 12, 99, 8, 4, 1, 99, 9, 64
Daniel Theis, 15, 79, 70, 17, 77, 71, 53, 36, 12, 35, 26, 5, 91, 37, 37, 49, 49, 31, 32, 29, 35, 50, 40, 6, 7, 7, 3, 32, 99, 45, 47, 62, 20, 17, 6, 12, 27
Danilo Gallinari, 36, 33, 73, 4, 20, 66, 15, 68, 76, 42, 69, 98, 52, 85, 70, 59, 50, 52, 41, 75, 71, 96, 85, 45, 28, 80, 86, 14, 55, 99, 27, 77, 86, 73, 33, 44, 58
Danny Green, 18, 49, 16, 87, 74, 23, 22, 50, 76, 47, 54, 63, 77, 38, 36, 45, 46, 30, 32, 30, 34, 48, 44, 51, 84, 99, 87, 11, 51, 83, 45, 75, 87, 40, 19, 21, 11
Danuel House Jr., 39, 34, 47, 40, 63, 1, 43, 2, 85, 34, 25, 5, 91, 38, 36, 47, 44, 30, 32, 27, 33, 48, 41, 5, 6, 7, 1, 12, 14, 84, 21, 49, 77, 40, 60, 39, 7
Darius Bazley, 28, 60, 78, 55, 85, 68, 33, 71, 51, 62, 51, 75, 53, 69, 46, 54, 76, 54, 43, 77, 58, 49, 41, 63, 74, 83, 46, 59, 44, 28, 24, 68, 26, 39, 22, 73, 22
Darius Garland, 98, 15, 6, 75, 3, 34, 9, 68, 23, 74, 58, 16, 29, 89, 94, 89, 85, 96, 86, 31, 33, 49, 42, 26, 47, 24, 51, 42, 36, 72, 67, 65, 58, 95, 90, 99, 66
David Nwaba, 35, 70, 86, 83, 79, 80, 27, 11, 2, 33, 28, 15, 0, 31, 36, 40, 38, 46, 77, 68, 48, 50, 42, 83, 70, 67, 44, 77, 42, 21, 94, 15, 15, 11, 98, 34, 42
Davion Mitchell, 85, 17, 3, 32, 36, 11, 54, 80, 40, 69, 67, 25, 82, 90, 64, 53, 61, 94, 81, 31, 32, 43, 42, 15, 5, 41, 36, 37, 29, 56, 19, 48, 33, 87, 48, 88, 66
Davis Bertans, 10, 17, 53, 33, 55, 88, 19, 9, 11, 31, 34, 6, 92, 33, 38, 40, 39, 19, 31, 38, 31, 43, 42, 5, 5, 0, 7, 33, 5, 79, 80, 75, 40, 29, 85, 20, 5
Davon Reed, 47, 36, 55, 67, 56, 1, 42, 2, 74, 66, 76, 68, 87, 34, 34, 40, 39, 62, 94, 38, 31, 37, 43, 5, 5, 94, 89, 17, 95, 94, 28, 26, 96, 46, 95, 25, 45
De'Aaron Fox, 87, 7, 22, 76, 41, 50, 9, 55, 15, 81, 65, 17, 83, 87, 89, 41, 39, 96, 71, 44, 30, 66, 74, 5, 4, 27, 40, 70, 40, 75, 44, 28, 42, 97, 64, 98, 72
De'Andre Hunter, 11, 18, 20, 27, 46, 11, 52, 80, 51, 61, 65, 64, 51, 82, 57, 87, 69, 59, 66, 62, 55, 73, 72, 41, 33, 69, 58, 50, 31, 48, 11, 76, 62, 71, 41, 74, 32
De'Anthony Melton, 67, 44, 67, 90, 58, 98, 26, 12, 42, 79, 59, 32, 44, 56, 48, 73, 74, 68, 48, 46, 34, 37, 43, 52, 79, 64, 58, 34, 22, 66, 26, 74, 83, 70, 42, 67, 17
DeAndre Jordan, 5, 98, 96, 18, 93, 54, 57, 37, 5, 35, 36, 7, 97, 36, 33, 42, 40, 6, 10, 45, 38, 38, 43, 4, 4, 6, 11, 98, 90, 11, 99, 2, 4, 1, 1, 3, 99
DeAndre' Bembry, 32, 64, 40, 96, 59, 61, 70, 50, 97, 23, 33, 21, 1, 36, 32, 42, 43, 42, 36, 70, 50, 38, 44, 78, 39, 66, 85, 87, 77, 11, 98, 12, 62, 8, 2, 35, 62
DeMar DeRozan, 81, 36, 48, 36, 29, 87, 26, 25, 38, 50, 88, 23, 42, 97, 87, 75, 70, 97, 82, 46, 46, 81, 83, 32, 83, 25, 55, 91, 51, 54, 44, 52, 36, 99, 81, 97, 84
DeMarcus Cousins, 61, 89, 97, 93, 89, 96, 66, 7, 99, 22, 33, 6, 95, 35, 32, 43, 41, 6, 6, 47, 48, 39, 44, 3, 4, 6, 10, 62, 72, 29, 19, 52, 19, 16, 17, 37, 80
Dean Wade, 28, 47, 42, 53, 23, 83, 95, 19, 6, 16, 34, 85, 64, 35, 30, 43, 41, 20, 6, 78, 72, 39, 44, 3, 3, 97, 53, 11, 74, 62, 84, 55, 60, 25, 56, 28, 84
Deandre Ayton, 11, 99, 94, 11, 85, 32, 85, 51, 88, 6, 35, 59, 49, 35, 32, 43, 42, 7, 6, 98, 86, 99, 93, 86, 75, 13, 35, 92, 87, 36, 91, 52, 68, 30, 87, 11, 87
Dejounte Murray, 99, 47, 88, 99, 22, 98, 64, 21, 34, 59, 91, 21, 16, 89, 69, 55, 80, 98, 72, 38, 47, 40, 45, 43, 47, 26, 37, 77, 19, 70, 52, 53, 45, 96, 60, 99, 67
Delon Wright, 78, 54, 45, 99, 42, 35, 5, 44, 83, 49, 46, 32, 69, 64, 43, 44, 42, 85, 68, 39, 47, 40, 53, 59, 89, 56, 76, 44, 32, 25, 60, 19, 69, 37, 92, 58, 24
Deni Avdija, 53, 48, 80, 63, 65, 72, 84, 30, 57, 70, 58, 93, 48, 53, 56, 61, 98, 65, 81, 56, 49, 70, 89, 55, 56, 87, 40, 38, 25, 43, 22, 61, 30, 38, 38, 60, 58
